# P3 必備技能 5 張 + P4 香港落實 3 張 = 8 張背景圖
# Format: filename | prompt

# ===== P3 五大必備技能 =====
bg_p3_analytical.jpg | Conceptual editorial illustration, vertical composition, abstract puzzle pieces interlocking with translucent geometric blueprints, magnifying glass examining patterns, deep cyan and indigo accents, soft focus background, premium minimalist editorial style, warm cream paper background, no text, no readable signs, no watermark, soft cinematic lighting
bg_p3_creative.jpg | Conceptual editorial illustration, vertical composition, abstract paint splash bursting from a glowing light bulb, swirls of magenta pink and gold pigment forming new ideas, artist hand silhouette, vibrant creative energy flow, premium minimalist editorial style, warm cream paper background, no text, no readable signs, no watermark, soft cinematic lighting
bg_p3_ai.jpg | Conceptual editorial illustration, vertical composition, glowing neural network of interconnected data nodes flowing through space, amber gold and warm orange light streams, abstract big data visualization, soft motion blur, premium minimalist editorial style, warm cream paper background, no text, no readable numbers, no watermark, soft cinematic lighting
bg_p3_resilience.jpg | Conceptual editorial illustration, vertical composition, single human silhouette climbing a steep mountain with arms reaching upward, light breaking through clouds at peak, emerald green and teal accents, abstract motion lines showing perseverance, premium minimalist editorial style, warm cream paper background, no text, no readable signs, no watermark, soft cinematic lighting
bg_p3_curiosity.jpg | Conceptual editorial illustration, vertical composition, child silhouette looking through a telescope at a sky filled with floating stars books and question marks, deep violet and lavender purple accents, dreamy curiosity atmosphere, premium minimalist editorial style, warm cream paper background, no text, no readable signs, no watermark, soft cinematic lighting

# ===== P4 香港落實 3 張 =====
bg_p4_edb.jpg | Conceptual editorial illustration, vertical composition, elegant modern government building facade with classical pillars and contemporary glass elements, abstract Hong Kong skyline silhouette in soft background, warm cyan blue and gold accents, golden hour lighting, premium minimalist editorial style, warm cream paper background, no text, no readable signs, no watermark, soft cinematic lighting
bg_p4_hku.jpg | Conceptual editorial illustration, vertical composition, classical university courtyard with bright atrium and rising spiral staircase of books, scholar silhouettes walking, deep magenta and rose accents, abstract academic atmosphere, premium minimalist editorial style, warm cream paper background, no text, no readable signs, no watermark, soft cinematic lighting
bg_p4_first.jpg | Conceptual editorial illustration, vertical composition, glowing achievement trophy or laurel wreath at the peak of a stack of books with rays of golden light, warm amber and burnt orange accents, sense of pioneering accomplishment, premium minimalist editorial style, warm cream paper background, no text, no readable signs, no watermark, soft cinematic lighting
